科目番号／科目名,単位／年次,学期／時期,教室,担当,実施形態,概要,備考
"3188202
English Academic Writing
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。学術論文執筆の際に必要となる表現力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2022年度より2年おきに開講。 2024年度開講せず。 G科目. 対面
"3188212
English Academic Writing
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。学術論文執筆の際に必要となる表現力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2023年度より2年おきに開講。 2024年度開講せず。 G科目. 対面
"3188222
English Academic Writing
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。学術論文執筆の際に必要となる表現力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2023年度より2年おきに開講。 2024年度開講せず。 G科目. 対面
"3188232
English Academic Writing
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春ABC
水4",CA306,ン レイ ション,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。学術論文執筆の際に必要となる表現力を身につけることができる。主に、外国人教員が担当する。,1.コミュニケーション能力 2.批判的・創造的思考力 4.広い視野と国際性 G科目. 対面(オンライン併用型)
"3188242
English Academic Writing
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","秋ABC
水4",CA306,ン レイ ション,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。学術論文執筆の際に必要となる表現力を身につけることができる。主に、外国人教員が担当する。,G科目. 対面(オンライン併用型)
"3188312
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2022年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188322
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2022年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188332
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2023年度より2年おきに開講。 2024年度開講せず。 G科目. 対面
"3188342
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2023年度より2年おきに開講。 2024年度開講せず。 G科目. 対面
"3188352
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春ABC
金3",CA304,マダバカス ナヒーン,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2024年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188362
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春ABC
金4",CA306,ヴルガリス ゲラシモス,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2024年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188372
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2022年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188382
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2022年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188392
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2023年度より2年おきに開講。 2024年度開講せず。 G科目. 対面
"3188402
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2023年度より2年おきに開講。 2024年度開講せず。 G科目. 対面
"3188412
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","秋ABC
金3",,マダバカス ナヒーン,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2024年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188422
English Academic Presentation
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","秋ABC
金4",,ヴルガリス ゲラシモス,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。国際的学術交流における口頭発表の場面で必要とされる英語運用能力を身につけることができる。主に、外国人教員が担当する。,人数制限あり 2024年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188512
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2023年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188522
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2023年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188532
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春ABC
水3",CA304,ヨン シュウェンダマン フェイ ドーカス,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2024年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188542
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春ABC
水4",CA302,ドジャリロワ ニゴラ,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2024年度より2年おきに開講。 英語で授業。 G科目. 対面(オンライン併用型)
"3188552
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2022年度より2年おきに開講。 G科目. 対面
"3188562
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2022年度より2年おきに開講。 G科目. 対面
"3188572
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2023年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188582
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2023年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188592
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","秋ABC
水3",,ヨン シュウェンダマン フェイ ドーカス,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2024年度より2年おきに開講。 G科目. 対面(オンライン併用型)
"3188602
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","秋ABC
水4",,ドジャリロワ ニゴラ,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2024年度より2年おきに開講。 英語で授業。 G科目. 対面(オンライン併用型)
"3188612
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2022年度より2年おきに開講。 2024年度開講せず。 G科目. 対面
"3188622
English Academic Reading
シラバスシラバス（ミラー）","1.0単位
2 - 4年次",,,,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。様々なテーマの英語で書かれた記事や作品を題材にして、学際的な研究活動に必要な英語表現に触れ、表現力を養うことができる。,人数制限あり 2022年度より2年おきに開講。 2024年度開講せず。 G科目. 対面
"3188732
English Test-Taking Practice
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春ABC
水3",1B308,小野 雄一,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。この目的にかなった外部検定試験問題の演習を数多くこなしながら、英語基礎力の定着を図るとともに、実践力を養うことができる。,人数制限あり G科目. 対面(オンライン併用型)
"3188752
English Test-Taking Practice
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","春ABC
金3",CA406,阿部 幸大,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。この目的にかなった外部検定試験問題の演習を数多くこなしながら、英語基礎力の定着を図るとともに、実践力を養うことができる。,人数制限あり G科目. 対面(オンライン併用型)
"3188812
English Test-Taking Practice
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","秋ABC
金3",CA406,阿部 幸大,対面,学群・学類における専門の英語(「特定学術目的の英語」)への橋渡しとなる「一般学術目的の英語」を学ぶ。この目的にかなった外部検定試験問題の演習を数多くこなしながら、英語基礎力の定着を図るとともに、実践力を養うことができる。,人数制限あり G科目. 対面(オンライン併用型)
"31BM012
English Intercultural Communication I
シラバスシラバス（ミラー）","0.5単位
2 - 4年次","春季休業中
集中",,山村 崇斗,オンデマンド,「一般学術目的の英語」の枠組みで、実践的な国際的コミュニケーション・スキルを学ぶことができる。そのために、リサーチの手法、議論方法、そしてプレゼンテーション方法を身に着け、異文化への気づきと理解を養うことができる。教授言語は主に英語。,全学群対象(再履修者及び編入生対象クラス)。2018年度以前入学者専用。 詳細後日周知. G科目. オンライン(オンデマンド型) 当該年度卒業予定者は、早めにCEGLOC事務室に相談すること。
"31FM012
English Intercultural Communication II
シラバスシラバス（ミラー）","1.0単位
2 - 4年次","夏季休業中
集中",,納谷 亮平,オンデマンド,「一般学術目的の英語」の枠組みで、より深く実践的な国際的コミュニケーション・スキルを学ぶことができる。そのために、リサーチの手法、議論方法、そしてプレゼンテーション方法を身に着け、異文化への気づきと理解を養うことができる。教授言語は主に英語。,全学群対象(再履修者及び編入生対象クラス)。2018年度以前入学者専用。 8/13-8/15 詳細後日周知. G科目. オンライン(オンデマンド型) 当該年度卒業予定者は、早めにCEGLOC事務室に相談すること。
"31HA012
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水1",CA304,ヨン シュウェンダマン フェイ ドーカス,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 1班対象 G科目. 対面(オンライン併用型)
"31HA022
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水1",1B402,佐野 隆弥,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 2班対象 G科目. 対面(オンライン併用型)
"31HA032
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水1",共同利用棟A201,宮腰 幸一,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 3班対象 G科目. 対面(オンライン併用型)
"31HA042
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水1",1C405,和田 尚明,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 4班対象 G科目. 対面(オンライン併用型)
"31HA052
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水1",1B302,金谷 優,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 5班対象 G科目. 対面(オンライン併用型)
"31HA062
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水1",1C305,ン レイ ション,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 6班対象 G科目. 対面(オンライン併用型)
"31HA072
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月4",1C305,竹谷 悦子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 7班対象 G科目. 対面(オンライン併用型)
"31HA082
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月4",1C405,磯崎 聡子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 8班対象 G科目. 対面(オンライン併用型)
"31HA092
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月4",CA403,土方 裕子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 9班対象 G科目. 対面(オンライン併用型)
"31HA102
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月4",CA304,長谷部 郁子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 10班対象 G科目. 対面(オンライン併用型)
"31HA112
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月4",CA306,神谷 昇,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 11班対象 G科目. 対面(オンライン併用型)
"31HA122
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「人文、応理、工シス、総学1組」 12班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31HB012
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水2",CA304,ヨン シュウェンダマン フェイ ドーカス,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 1班対象 G科目. 対面(オンライン併用型)
"31HB022
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水2",CA306,マダバカス ナヒーン,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 2班対象 G科目. 対面(オンライン併用型)
"31HB032
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水2",共同利用棟A201,宮腰 幸一,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 3班対象 G科目. 対面(オンライン併用型)
"31HB042
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水2",1C405,和田 尚明,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 4班対象 G科目. 対面(オンライン併用型)
"31HB052
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水2",1B302,金谷 優,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 5班対象 G科目. 対面(オンライン併用型)
"31HB062
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
水2",1C305,ン レイ ション,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 6班対象 G科目. 対面(オンライン併用型)
"31HB072
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月3",1C305,竹谷 悦子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 7班対象 G科目. 対面(オンライン併用型)
"31HB082
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月3",1C405,磯崎 聡子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 8班対象 G科目. 対面(オンライン併用型)
"31HB092
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月3",CA403,土方 裕子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 9班対象 G科目. 対面(オンライン併用型)
"31HB102
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月3",CA306,神谷 昇,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 10班対象 G科目. 対面(オンライン併用型)
"31HB112
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月3",1B403,納谷 亮平,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 11班対象 G科目. 対面(オンライン併用型)
"31HB122
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「比文、日日、社工、体育1、総学2組」 12班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31HC012
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月6",2B409,黄 賢?,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 1班対象 G科目. 対面(オンライン併用型)
"31HC022
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月6",CA501,山村 崇斗,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 2班対象 G科目. 対面(オンライン併用型)
"31HC032
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月6",CA304,長谷部 郁子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 3班対象 G科目. 対面(オンライン併用型)
"31HC042
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月6",1B403,納谷 亮平,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 4班対象 G科目. 対面(オンライン併用型)
"31HC052
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
月6",CA306,神谷 昇,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 5班対象 G科目. 対面(オンライン併用型)
"31HC062
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次",,,,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 6班対象 2024年度開講せず。 G科目. 対面(オンライン併用型)
"31HC072
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
木1",1B402,佐野 隆弥,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 7班対象 G科目. 対面(オンライン併用型)
"31HC082
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
木1",CA501,吉原 ゆかり,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 8班対象 G科目. 対面(オンライン併用型)
"31HC092
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
木1",共同利用棟A102,齋藤 一,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 9班対象 G科目. 対面(オンライン併用型)
"31HC102
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
木1",5C301,磯崎 聡子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 10班対象 G科目. 対面(オンライン併用型)
"31HC112
English Reading Skills I
シラバスシラバス（ミラー）","1.0単位
1年次","春ABC
木1",CA301,長谷部 郁子,対面,「一般学術目的の英語」の枠組みで、実践的リーディング方略を中心に学ぶことができる。これにより、言語としての英語を深く理解するとともに、大学生として学術的及び学際的素養を養い、思考力・判断力・表現力を向上させることができる。,「生物、地球、数学、物理、化学、創成、総学3組」 11班対象 G科目. 対面(オンライン併用型)
